,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Name
91,4872.30303,4782.666666,3588.545454,4304.090909,3431.424242,3823.969697,3301.090909,4351.484848,4247.939394,4104.727272,4693.545454,7025.636363,4287.090909,7920.969696,left
92,4872.818181,5320.999999,3238.757575,4090.818181,3411.848485,4038.787878,3767.818181,5534.272727,4432.363636,4433.393939,4452.969697,7444.969696,4156.757575,6731.999999,left
93,3185.696969,5421.454545,1880.818182,5784.121212,4100.60606,4933.090909,4920.727272,5221.575757,4395.787878,4268.545454,3845.60606,4298.424242,4027.454545,3894.545454,left
94,3185.696969,5421.454545,1880.818182,5784.121212,4100.60606,4933.090909,4920.727272,5221.575757,4395.787878,4268.545454,3845.60606,4298.424242,4027.454545,3894.545454,left
95,3185.696969,5421.454545,1880.818182,5784.121212,4100.60606,4933.090909,4920.727272,5221.575757,4395.787878,4268.545454,3845.60606,4298.424242,4027.454545,3894.545454,left
96,4115.545454,5732.090909,3050.212121,5556.424242,4167.060606,5105.666666,5218.484848,4551.363636,4446.787878,4081.030303,4183.545454,2980.666666,3525.181818,3064.636363,left
97,4507.060606,4876.939393,5719.727272,4626.060606,4680.666666,5596.090909,5410.121212,4189.727272,4415.878787,4063,4171.696969,460.5454545,3531.878788,2565.454545,left
98,3548.363636,4819.757575,4298.424242,4749.696969,4664.181818,5365.30303,4804.818181,4086.181818,4535.393939,4254.121212,4382.393939,2028.666666,3656.545454,830.9393939,left
99,3548.363636,4819.757575,4298.424242,4749.696969,4664.181818,5365.30303,4804.818181,4086.181818,4535.393939,4254.121212,4382.393939,2028.666666,3656.545454,830.9393939,left
100,3548.363636,4819.757575,4298.424242,4749.696969,4664.181818,5365.30303,4804.818181,4086.181818,4535.393939,4254.121212,4382.393939,2028.666666,3656.545454,830.9393939,left
101,4486.454545,5619.272727,3200.636363,4451.939393,4757.424242,5348.818181,4679.636363,3771.424242,4370.545454,4079.484848,4077.424242,735.121212,3769.363636,2747.30303,left
102,4486.454545,5619.272727,3200.636363,4451.939393,4757.424242,5348.818181,4679.636363,3771.424242,4370.545454,4079.484848,4077.424242,735.121212,3769.363636,2747.30303,left
103,4486.454545,5619.272727,3200.636363,4451.939393,4757.424242,5348.818181,4679.636363,3771.424242,4370.545454,4079.484848,4077.424242,735.121212,3769.363636,2747.30303,left
104,4617.818181,5338.515151,3094.515151,4221.666666,4369.515151,4808.424242,3955.848484,3630.272727,4348.393939,4020.757575,4264.424242,2188.878788,4065.575757,4395.272727,left
105,4795.545454,4744.030303,3918.242424,4522.515151,4242.272727,4238.151515,3425.242424,3631.30303,4556,4172.212121,5027.878787,4734.757575,4332.424242,5899.515151,left
106,4805.848484,4780.090909,4392.696969,4662.121212,3915.151515,4094.424242,3382.484848,3701.878788,4476.151515,4079.484848,5048.484848,3851.787878,4514.787878,7501.636363,left
107,4456.575757,4415.363636,4029.515151,4237.121212,3166.121212,3687.969697,3221.757575,4606.484848,4303.060606,4126.363636,4900.636363,8118.787878,4412.787878,7927.666666,left
108,4686.848484,4913,3187.242424,4302.030303,3339.727272,3932.151515,3690.545454,5762.484848,4314.90909,4314.90909,4238.666666,6509.969696,4320.060606,7927.666666,left
109,2722.575757,5382.30303,2128.090909,5699.121212,3690.545454,4411.242424,4326.757575,5763.515151,4350.969697,4514.272727,3636.969697,6692.848484,4280.90909,4043.424242,left
110,2722.575757,5382.30303,2128.090909,5699.121212,3690.545454,4411.242424,4326.757575,5763.515151,4350.969697,4514.272727,3636.969697,6692.848484,4280.90909,4043.424242,left
111,4192.818181,4301.515151,4899.090909,5585.787878,4427.727272,5313.272727,5086.60606,4611.636363,4498.818181,4384.969697,3992.939394,848.4545454,3469.545454,2417.090909,left
112,4192.818181,4301.515151,4899.090909,5585.787878,4427.727272,5313.272727,5086.60606,4611.636363,4498.818181,4384.969697,3992.939394,848.4545454,3469.545454,2417.090909,left
113,4192.818181,4301.515151,4899.090909,5585.787878,4427.727272,5313.272727,5086.60606,4611.636363,4498.818181,4384.969697,3992.939394,848.4545454,3469.545454,2417.090909,left
114,4428.242424,5390.545454,2605.121212,4730.636363,4655.939393,5279.787878,4476.151515,4047.545454,4476.666666,4130.484848,4246.90909,1447.575757,3785.333333,3353.121212,left
